sender,sequence,rssi
192.168.4.6,52144,-87
192.168.4.6,52176,-80
192.168.4.6,52192,-79
192.168.4.6,52224,-77
192.168.4.6,52240,-80
192.168.4.6,52272,-82
192.168.4.6,52288,-84
192.168.4.6,52320,-86
192.168.4.6,52352,-81
192.168.4.6,52416,-86
192.168.4.6,52432,-86
192.168.4.6,52448,-86
192.168.4.6,52464,-88
192.168.4.6,52480,-84
192.168.4.6,52512,-85
192.168.4.6,52544,-75
192.168.4.6,52560,-83
192.168.4.6,52592,-83
192.168.4.6,52608,-86
192.168.4.6,52624,-83
192.168.4.6,52640,-81
192.168.4.6,52656,-82
192.168.4.6,52672,-90
192.168.4.6,52752,-83
192.168.4.6,52768,-87
192.168.4.6,52784,-83
192.168.4.6,52832,-81
192.168.4.6,52848,-83
192.168.4.6,52912,-84
192.168.4.6,52928,-82
192.168.4.6,52976,-79
192.168.4.6,52992,-83
192.168.4.6,53024,-77
192.168.4.6,53040,-80
192.168.4.6,53072,-83
192.168.4.6,53088,-80
192.168.4.6,53120,-82
192.168.4.6,53232,-86
192.168.4.6,53248,-84
192.168.4.6,53296,-81
192.168.4.6,53392,-80
192.168.4.6,53424,-86
192.168.4.6,53472,-83
192.168.4.6,53504,-92
192.168.4.6,53520,-91
192.168.4.6,53600,-79
192.168.4.6,53616,-83
192.168.4.6,53648,-84
192.168.4.6,53712,-81
192.168.4.6,53776,-81
192.168.4.6,53792,-85
192.168.4.6,53808,-91
192.168.4.6,53824,-83
192.168.4.6,53856,-82
192.168.4.6,53872,-76
192.168.4.6,53888,-81
192.168.4.6,53904,-82
192.168.4.6,53952,-81
192.168.4.6,53968,-83
192.168.4.6,53984,-79
192.168.4.6,54064,-91
192.168.4.6,54080,-89
192.168.4.6,54096,-85
192.168.4.6,54112,-82
