distance,rssi
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-32
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-34
0.1,-32
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-32
0.1,-33
0.1,-34
0.1,-33
0.1,-34
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-35
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-32
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-34
0.1,-32
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-32
0.1,-32
0.1,-33
0.1,-32
0.1,-33
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-35
0.1,-32
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-32
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-32
0.1,-34
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-34
0.1,-32
0.1,-33
0.1,-33
0.1,-34
0.1,-34
0.1,-34
0.1,-34
0.1,-33
0.1,-34
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-32
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-32
0.1,-34
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-34
0.1,-34
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-32
0.1,-33
0.1,-34
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-34
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-33
0.1,-34
0.1,-32
1,-52
1,-53
1,-53
1,-52
1,-53
1,-52
1,-54
1,-53
1,-54
1,-52
1,-54
1,-53
1,-53
1,-53
1,-53
1,-53
1,-52
1,-52
1,-52
1,-53
1,-52
1,-54
1,-53
1,-52
1,-54
1,-53
1,-52
1,-53
1,-53
1,-53
1,-53
1,-53
1,-53
1,-52
1,-54
1,-53
1,-53
1,-52
1,-53
1,-52
1,-52
1,-53
1,-53
1,-53
1,-52
1,-53
1,-53
1,-53
1,-53
1,-54
1,-53
1,-52
1,-52
1,-52
1,-53
1,-53
1,-54
1,-52
1,-53
1,-53
1,-53
1,-53
1,-53
1,-53
1,-53
1,-52
1,-52
1,-53
1,-54
1,-53
1,-53
1,-52
1,-53
1,-54
1,-53
1,-52
1,-54
1,-53
1,-53
1,-53
1,-53
1,-54
1,-53
1,-52
1,-53
1,-53
1,-52
1,-53
1,-53
1,-54
1,-52
1,-53
1,-54
1,-53
1,-53
1,-53
1,-53
1,-53
1,-52
1,-53
1,-52
1,-53
1,-52
1,-52
1,-53
1,-53
1,-53
1,-52
1,-53
1,-53
1,-54
1,-52
1,-52
1,-53
1,-53
1,-52
1,-53
1,-53
1,-52
1,-52
1,-54
1,-53
1,-52
1,-53
1,-54
1,-52
1,-53
1,-53
1,-53
1,-52
1,-53
1,-52
1,-54
1,-51
1,-53
1,-52
1,-52
1,-52
1,-46
1,-46
1,-53
1,-53
1,-53
1,-51
1,-53
1,-52
1,-53
1,-52
1,-53
1,-53
1,-52
1,-53
1,-53
1,-52
1,-53
1,-53
1,-52
1,-52
1,-52
1,-52
1,-53
1,-53
1,-52
1,-53
1,-53
1,-52
1,-54
1,-53
1,-53
1,-53
1,-54
1,-52
1,-53
1,-52
1,-53
1,-53
1,-52
1,-54
1,-52
1,-52
1,-53
1,-53
1,-52
1,-53
1,-53
1,-53
1,-52
1,-52
1,-52
1,-53
1,-52
1,-52
1,-53
1,-52
1,-53
1,-54
1,-53
1,-54
1,-53
2,-80
2,-81
2,-77
2,-79
2,-77
2,-76
2,-81
2,-81
2,-81
2,-78
2,-79
2,-80
2,-76
2,-79
2,-79
2,-82
2,-82
2,-82
2,-84
2,-82
2,-82
2,-82
2,-82
2,-88
2,-87
2,-85
2,-81
2,-83
2,-85
2,-85
2,-79
2,-80
2,-79
2,-80
2,-80
2,-77
2,-79
2,-75
2,-76
2,-79
2,-78
2,-78
2,-75
2,-76
2,-76
2,-79
2,-77
2,-78
2,-80
2,-77
2,-79
2,-79
2,-80
2,-78
2,-81
2,-80
2,-79
2,-80
2,-75
2,-75
2,-75
2,-76
2,-79
2,-76
2,-79
2,-80
2,-77
2,-83
2,-79
2,-79
2,-79
2,-78
2,-77
2,-79
2,-78
2,-79
2,-79
2,-79
2,-78
2,-77
2,-80
2,-83
2,-79
2,-76
2,-78
2,-78
2,-76
2,-78
2,-75
2,-74
2,-74
2,-74
2,-76
2,-78
2,-75
2,-81
2,-78
2,-79
2,-80
2,-79
2,-77
2,-79
2,-78
2,-80
2,-79
2,-79
2,-79
2,-81
2,-83
2,-82
2,-80
2,-80
2,-80
2,-79
2,-79
2,-79
2,-79
2,-79
2,-81
2,-79
2,-81
2,-80
2,-78
2,-79
2,-80
2,-80
2,-78
2,-81
2,-83
2,-82
2,-81
2,-86
2,-81
2,-83
2,-81
2,-80
2,-81
2,-83
2,-83
2,-79
2,-79
2,-81
2,-80
2,-79
2,-79
2,-79
2,-79
2,-81
2,-81
2,-81
2,-81
2,-80
2,-81
2,-81
2,-81
2,-81
2,-80
2,-81
2,-81
2,-81
2,-80
2,-81
2,-81
2,-81
2,-81
2,-81
2,-81
2,-81
2,-80
2,-79
2,-79
2,-77
2,-76
2,-79
2,-78
2,-81
2,-79
2,-81
2,-80
2,-82
2,-81
2,-80
2,-84
2,-83
2,-83
2,-85
2,-81
2,-85
2,-82
2,-80
2,-81
2,-80
2,-81
2,-82
2,-82
2,-82
2,-83
3,-73
3,-72
3,-71
3,-72
3,-73
3,-73
3,-72
3,-70
3,-71
3,-72
3,-71
3,-72
3,-71
3,-72
3,-72
3,-73
3,-72
3,-71
3,-73
3,-72
3,-72
3,-73
3,-73
3,-74
3,-73
3,-74
3,-72
3,-73
3,-72
3,-73
3,-74
3,-73
3,-72
3,-75
3,-73
3,-73
3,-74
3,-74
3,-72
3,-75
3,-74
3,-74
3,-75
3,-74
3,-73
3,-73
3,-73
3,-74
3,-74
3,-74
3,-73
3,-73
3,-74
3,-72
3,-73
3,-73
3,-72
3,-73
3,-73
3,-74
3,-72
3,-72
3,-72
3,-72
3,-73
3,-72
3,-72
3,-73
3,-73
3,-73
3,-74
3,-74
3,-74
3,-73
3,-72
3,-73
3,-72
3,-72
3,-73
3,-72
3,-73
3,-72
3,-71
3,-72
3,-73
3,-73
3,-72
3,-72
3,-73
3,-72
3,-71
3,-71
3,-73
3,-73
3,-72
3,-73
3,-72
3,-73
3,-74
3,-73
3,-72
3,-74
3,-73
3,-72
3,-72
3,-71
3,-72
3,-72
3,-73
3,-71
3,-72
3,-72
3,-72
3,-72
3,-72
3,-72
3,-71
3,-71
3,-72
3,-72
3,-70
3,-73
3,-72
3,-73
3,-73
3,-74
3,-74
3,-73
3,-74
3,-73
3,-73
3,-73
3,-71
3,-73
3,-73
3,-71
3,-72
3,-72
3,-73
3,-73
3,-73
3,-73
3,-73
3,-73
3,-74
3,-73
3,-73
3,-73
3,-71
3,-73
3,-72
3,-72
3,-72
3,-72
3,-71
3,-71
3,-72
3,-73
3,-72
3,-72
3,-72
3,-73
3,-72
3,-74
3,-73
3,-73
3,-73
3,-73
3,-75
3,-72
3,-73
3,-72
3,-71
3,-72
3,-73
3,-73
3,-73
3,-71
3,-72
3,-73
3,-71
3,-72
3,-71
3,-72
3,-70
3,-71
3,-71
3,-72
3,-73
3,-73
3,-73
3,-72
3,-72
3,-73
3,-74
3,-74
3,-75
4,-76
4,-74
4,-75
4,-75
4,-75
4,-74
4,-76
4,-76
4,-74
4,-74
4,-75
4,-75
4,-76
4,-74
4,-78
4,-75
4,-75
4,-75
4,-75
4,-76
4,-76
4,-76
4,-74
4,-74
4,-74
4,-75
4,-75
4,-75
4,-76
4,-76
4,-75
4,-75
4,-76
4,-75
4,-75
4,-76
4,-75
4,-75
4,-75
4,-75
4,-76
4,-76
4,-75
4,-74
4,-74
4,-74
4,-74
4,-74
4,-76
4,-75
4,-74
4,-73
4,-75
4,-73
4,-74
4,-74
4,-73
4,-74
4,-74
4,-73
4,-74
4,-74
4,-74
4,-73
4,-75
4,-75
4,-75
4,-75
4,-74
4,-75
4,-75
4,-74
4,-75
4,-74
4,-74
4,-74
4,-76
4,-74
4,-75
4,-74
4,-74
4,-74
4,-74
4,-73
4,-75
4,-74
4,-74
4,-75
4,-75
4,-75
4,-75
4,-74
4,-74
4,-75
4,-74
4,-75
4,-75
4,-76
4,-74
4,-74
4,-74
4,-74
4,-74
4,-74
4,-74
4,-75
4,-75
4,-76
4,-76
4,-76
4,-77
4,-75
4,-75
4,-74
4,-75
4,-75
4,-75
4,-76
4,-76
4,-74
4,-73
4,-73
4,-74
4,-75
4,-75
4,-75
4,-75
4,-75
4,-75
4,-75
4,-75
4,-76
4,-76
4,-75
4,-74
4,-74
4,-74
4,-73
4,-74
4,-75
4,-75
4,-74
4,-75
4,-74
4,-72
4,-73
4,-73
4,-73
4,-73
4,-74
4,-73
4,-74
4,-73
4,-74
4,-75
4,-74
4,-76
4,-74
4,-74
4,-74
4,-74
4,-75
4,-74
4,-75
4,-75
4,-73
4,-72
4,-73
4,-73
4,-75
4,-74
4,-75
4,-74
4,-75
4,-74
4,-74
4,-74
4,-75
4,-77
4,-78
4,-76
4,-74
4,-74
4,-75
4,-73
4,-73
4,-75
4,-74
4,-75
4,-76
4,-75
4,-76
4,-74
4,-74
4,-73
4,-75
4,-75
4,-75
5,-75
5,-75
5,-77
5,-75
5,-75
5,-75
5,-75
5,-75
5,-75
5,-74
5,-79
5,-78
5,-74
5,-80
5,-75
5,-78
5,-76
5,-77
5,-75
5,-76
5,-77
5,-77
5,-76
5,-75
5,-75
5,-76
5,-76
5,-77
5,-76
5,-76
5,-77
5,-76
5,-76
5,-74
5,-78
5,-76
5,-75
5,-76
5,-77
5,-78
5,-76
5,-77
5,-75
5,-77
5,-75
5,-76
5,-76
5,-78
5,-78
5,-78
5,-77
5,-76
5,-76
5,-75
5,-76
5,-77
5,-74
5,-75
5,-75
5,-74
5,-74
5,-75
5,-76
5,-74
5,-76
5,-75
5,-76
5,-76
5,-76
5,-75
5,-76
5,-75
5,-75
5,-75
5,-77
5,-77
5,-78
5,-78
5,-77
5,-77
5,-77
5,-77
5,-77
5,-76
5,-75
5,-75
5,-75
5,-75
5,-76
5,-74
5,-75
5,-75
5,-74
5,-75
5,-74
5,-75
5,-76
5,-75
5,-75
5,-75
5,-77
5,-77
5,-77
5,-77
5,-78
5,-77
5,-78
5,-77
5,-78
5,-78
5,-78
5,-78
5,-78
5,-75
5,-75
5,-75
5,-75
5,-75
5,-74
5,-75
5,-76
5,-78
5,-76
5,-76
5,-77
5,-76
5,-76
5,-77
5,-76
5,-78
5,-77
5,-79
5,-77
5,-78
5,-78
5,-78
5,-78
5,-76
5,-78
5,-76
5,-78
5,-77
5,-77
5,-77
5,-75
5,-76
5,-78
5,-77
5,-78
5,-78
5,-79
5,-79
5,-79
5,-75
5,-75
5,-75
5,-75
5,-76
5,-75
5,-76
5,-75
5,-74
5,-75
5,-76
5,-74
5,-74
5,-78
5,-75
5,-75
5,-75
5,-77
5,-75
5,-75
5,-74
5,-76
5,-76
5,-76
5,-78
5,-76
5,-78
5,-76
5,-75
5,-74
5,-77
5,-75
5,-75
5,-75
5,-75
5,-77
5,-75
5,-77
5,-74
6,-73
6,-74
6,-73
6,-75
6,-74
6,-73
6,-74
6,-74
6,-75
6,-73
6,-73
6,-73
6,-72
6,-73
6,-74
6,-74
6,-73
6,-72
6,-74
6,-74
6,-73
6,-71
6,-73
6,-73
6,-73
6,-72
6,-74
6,-72
6,-73
6,-73
6,-73
6,-73
6,-71
6,-73
6,-72
6,-71
6,-73
6,-74
6,-73
6,-74
6,-72
6,-72
6,-72
6,-72
6,-73
6,-74
6,-73
6,-74
6,-73
6,-73
6,-73
6,-73
6,-73
6,-73
6,-74
6,-73
6,-74
6,-74
6,-73
6,-73
6,-73
6,-73
6,-73
6,-73
6,-73
6,-73
6,-73
6,-74
6,-74
6,-73
6,-73
6,-73
6,-74
6,-74
6,-74
6,-73
6,-75
6,-73
6,-73
6,-73
6,-75
6,-73
6,-73
6,-73
6,-73
6,-72
6,-73
6,-74
6,-74
6,-73
6,-74
6,-74
6,-73
6,-73
6,-74
6,-75
6,-74
6,-73
6,-74
6,-73
6,-73
6,-75
6,-74
6,-74
6,-73
6,-74
6,-73
6,-73
6,-73
6,-74
6,-73
6,-74
6,-74
6,-74
6,-72
6,-73
6,-73
6,-72
6,-73
6,-73
6,-73
6,-74
6,-73
6,-72
6,-72
6,-73
6,-73
6,-73
6,-73
6,-73
6,-73
6,-74
6,-73
6,-73
6,-73
6,-74
6,-73
6,-72
6,-73
6,-73
6,-73
6,-71
6,-72
6,-74
6,-72
6,-73
6,-73
6,-73
6,-72
6,-73
6,-72
6,-73
6,-73
6,-74
6,-72
6,-72
6,-73
6,-72
6,-73
6,-73
6,-74
6,-72
6,-73
6,-74
6,-73
6,-73
6,-74
6,-73
6,-74
6,-75
6,-74
6,-73
6,-74
6,-74
6,-74
6,-73
6,-74
6,-73
6,-74
6,-74
6,-73
6,-74
6,-74
6,-74
6,-73
6,-73
6,-73
6,-75
6,-73
6,-73
6,-72
6,-73
7,-70
7,-72
7,-72
7,-74
7,-74
7,-71
7,-73
7,-72
7,-72
7,-73
7,-72
7,-73
7,-74
7,-72
7,-73
7,-72
7,-73
7,-72
7,-72
7,-73
7,-71
7,-72
7,-71
7,-71
7,-72
7,-72
7,-73
7,-72
7,-72
7,-71
7,-72
7,-72
7,-72
7,-73
7,-72
7,-73
7,-72
7,-73
7,-72
7,-72
7,-72
7,-73
7,-73
7,-72
7,-72
7,-73
7,-72
7,-73
7,-72
7,-72
7,-73
7,-73
7,-72
7,-73
7,-72
7,-74
7,-73
7,-73
7,-73
7,-73
7,-73
7,-73
7,-73
7,-72
7,-73
7,-72
7,-72
7,-73
7,-72
7,-73
7,-72
7,-72
7,-72
7,-72
7,-73
7,-72
7,-72
7,-73
7,-71
7,-72
7,-72
7,-71
7,-72
7,-71
7,-72
7,-73
7,-72
7,-72
7,-72
7,-72
7,-73
7,-73
7,-72
7,-71
7,-72
7,-73
7,-72
7,-72
7,-72
7,-72
7,-72
7,-72
7,-72
7,-73
7,-73
7,-72
7,-73
7,-72
7,-73
7,-72
7,-73
7,-71
7,-72
7,-74
7,-72
7,-73
7,-73
7,-73
7,-73
7,-73
7,-72
7,-73
7,-73
7,-73
7,-73
7,-72
7,-73
7,-72
7,-72
7,-73
7,-73
7,-72
7,-72
7,-72
7,-72
7,-73
7,-73
7,-72
7,-72
7,-72
7,-71
7,-72
7,-72
7,-72
7,-72
7,-72
7,-73
7,-73
7,-73
7,-71
7,-72
7,-72
7,-71
7,-72
7,-72
7,-74
7,-73
7,-72
7,-72
7,-73
7,-72
7,-71
7,-72
7,-72
7,-72
7,-72
7,-72
7,-72
7,-71
7,-73
7,-72
7,-73
7,-72
7,-72
7,-73
7,-72
7,-71
7,-73
7,-72
7,-72
7,-72
7,-73
7,-73
7,-73
7,-73
7,-73
7,-73
7,-72
7,-72
7,-72
7,-73
7,-73
7,-72
7,-72
7,-74
7,-72
7,-71
8,-76
8,-76
8,-76
8,-77
8,-76
8,-76
8,-76
8,-75
8,-76
8,-77
8,-75
8,-75
8,-76
8,-76
8,-76
8,-76
8,-75
8,-76
8,-77
8,-75
8,-75
8,-75
8,-75
8,-77
8,-77
8,-75
8,-76
8,-76
8,-76
8,-77
8,-76
8,-77
8,-76
8,-79
8,-77
8,-76
8,-76
8,-76
8,-78
8,-76
8,-76
8,-76
8,-77
8,-76
8,-76
8,-76
8,-76
8,-76
8,-76
8,-75
8,-75
8,-75
8,-75
8,-75
8,-76
8,-77
8,-76
8,-76
8,-75
8,-76
8,-76
8,-76
8,-75
8,-76
8,-77
8,-75
8,-75
8,-76
8,-77
8,-77
8,-75
8,-75
8,-75
8,-76
8,-77
8,-76
8,-75
8,-75
8,-76
8,-75
8,-75
8,-77
8,-77
8,-76
8,-76
8,-76
8,-76
8,-76
8,-77
8,-76
8,-76
8,-75
8,-75
8,-76
8,-75
8,-76
8,-77
8,-76
8,-76
8,-77
8,-77
8,-77
8,-77
8,-78
8,-77
8,-76
8,-76
8,-75
8,-76
8,-76
8,-77
8,-76
8,-76
8,-75
8,-75
8,-75
8,-76
8,-77
8,-76
8,-75
8,-75
8,-76
8,-76
8,-76
8,-75
8,-76
8,-76
8,-76
8,-76
8,-77
8,-75
8,-76
8,-76
8,-77
8,-76
8,-75
8,-76
8,-75
8,-75
8,-75
8,-76
8,-77
8,-77
8,-77
8,-75
8,-76
8,-75
8,-76
8,-76
8,-75
8,-76
8,-75
8,-76
8,-76
8,-77
8,-76
8,-75
8,-76
8,-75
8,-75
8,-76
8,-76
8,-75
8,-75
8,-75
8,-76
8,-75
8,-76
8,-75
8,-75
8,-75
8,-74
8,-75
8,-75
8,-75
8,-76
8,-76
8,-76
8,-75
8,-76
8,-76
8,-75
8,-75
8,-74
8,-76
8,-76
8,-76
8,-76
8,-76
8,-76
8,-76
8,-76
8,-75
8,-76
8,-76
8,-75
8,-75
8,-76
8,-76
9,-80
9,-80
9,-80
9,-82
9,-79
9,-81
9,-80
9,-81
9,-81
9,-82
9,-82
9,-81
9,-81
9,-81
9,-81
9,-82
9,-81
9,-81
9,-81
9,-80
9,-80
9,-81
9,-83
9,-81
9,-81
9,-80
9,-81
9,-82
9,-81
9,-80
9,-83
9,-81
9,-81
9,-81
9,-81
9,-82
9,-82
9,-81
9,-81
9,-82
9,-81
9,-81
9,-81
9,-82
9,-82
9,-80
9,-80
9,-81
9,-81
9,-81
9,-80
9,-81
9,-81
9,-80
9,-81
9,-80
9,-81
9,-80
9,-80
9,-81
9,-81
9,-80
9,-81
9,-81
9,-79
9,-79
9,-79
9,-80
9,-81
9,-81
9,-82
9,-81
9,-82
9,-80
9,-81
9,-80
9,-81
9,-80
9,-79
9,-80
9,-80
9,-80
9,-80
9,-79
9,-82
9,-81
9,-80
9,-79
9,-82
9,-81
9,-80
9,-79
9,-81
9,-80
9,-79
9,-79
9,-79
9,-79
9,-80
9,-80
9,-80
9,-80
9,-81
9,-80
9,-81
9,-80
9,-78
9,-81
9,-80
9,-81
9,-81
9,-81
9,-81
9,-82
9,-80
9,-79
9,-82
9,-81
9,-82
9,-81
9,-80
9,-81
9,-81
9,-79
9,-81
9,-81
9,-81
9,-79
9,-81
9,-79
9,-81
9,-80
9,-82
9,-79
9,-80
9,-80
9,-82
9,-81
9,-82
9,-82
9,-81
9,-81
9,-82
9,-81
9,-81
9,-80
9,-80
9,-80
9,-81
9,-82
9,-82
9,-81
9,-82
9,-80
9,-82
9,-81
9,-81
9,-81
9,-82
9,-81
9,-82
9,-82
9,-80
9,-80
9,-80
9,-81
9,-82
9,-81
9,-82
9,-81
9,-81
9,-79
9,-81
9,-81
9,-81
9,-81
9,-81
9,-80
9,-81
9,-80
9,-80
9,-79
9,-81
9,-79
9,-80
9,-81
9,-80
9,-82
9,-82
9,-81
9,-82
9,-81
9,-80
10.1,-84
10.1,-85
10.1,-84
10.1,-83
10.1,-83
10.1,-83
10.1,-84
10.1,-83
10.1,-85
10.1,-85
10.1,-84
10.1,-84
10.1,-86
10.1,-84
10.1,-85
10.1,-85
10.1,-84
10.1,-84
10.1,-83
10.1,-85
10.1,-85
10.1,-83
10.1,-85
10.1,-84
10.1,-83
10.1,-85
10.1,-84
10.1,-83
10.1,-83
10.1,-82
10.1,-85
10.1,-85
10.1,-84
10.1,-84
10.1,-85
10.1,-83
10.1,-83
10.1,-84
10.1,-85
10.1,-85
10.1,-83
10.1,-85
10.1,-84
10.1,-84
10.1,-84
10.1,-83
10.1,-84
10.1,-83
10.1,-82
10.1,-85
10.1,-85
10.1,-85
10.1,-83
10.1,-84
10.1,-83
10.1,-81
10.1,-81
10.1,-83
10.1,-83
10.1,-81
10.1,-83
10.1,-84
10.1,-84
10.1,-84
10.1,-84
10.1,-84
10.1,-83
10.1,-82
10.1,-83
10.1,-83
10.1,-84
10.1,-84
10.1,-85
10.1,-85
10.1,-83
10.1,-83
10.1,-83
10.1,-83
10.1,-82
10.1,-84
10.1,-82
10.1,-83
10.1,-82
10.1,-85
10.1,-82
10.1,-84
10.1,-83
10.1,-85
10.1,-82
10.1,-82
10.1,-85
10.1,-84
10.1,-86
10.1,-85
10.1,-86
10.1,-83
10.1,-84
10.1,-83
10.1,-82
10.1,-83
10.1,-83
10.1,-83
10.1,-84
10.1,-84
10.1,-82
10.1,-83
10.1,-82
10.1,-84
10.1,-82
10.1,-82
10.1,-84
10.1,-83
10.1,-85
10.1,-84
10.1,-85
10.1,-85
10.1,-84
10.1,-83
10.1,-84
10.1,-83
10.1,-82
10.1,-85
10.1,-82
10.1,-81
10.1,-82
10.1,-84
10.1,-83
10.1,-84
10.1,-84
