sender,sequence,rssi
192.168.4.2,47008,-41
192.168.4.2,47024,-40
192.168.4.2,47040,-41
192.168.4.2,47056,-48
192.168.4.2,47072,-49
192.168.4.2,47104,-49
192.168.4.2,47120,-43
192.168.4.2,47136,-48
192.168.4.2,47152,-42
192.168.4.2,47168,-42
192.168.4.2,47184,-42
192.168.4.2,47216,-43
192.168.4.2,47232,-43
192.168.4.2,47248,-49
192.168.4.2,47264,-45
192.168.4.2,47280,-51
192.168.4.2,47296,-51
192.168.4.2,47312,-52
192.168.4.2,47328,-53
192.168.4.2,47344,-55
192.168.4.2,47376,-55
192.168.4.2,47392,-58
192.168.4.2,47408,-61
192.168.4.2,47424,-58
192.168.4.2,47440,-56
192.168.4.2,47456,-55
192.168.4.2,47472,-57
192.168.4.2,47488,-58
192.168.4.2,47504,-57
192.168.4.2,47520,-60
192.168.4.2,47536,-59
192.168.4.2,47568,-57
192.168.4.2,47584,-59
192.168.4.2,47600,-60
192.168.4.2,47616,-62
192.168.4.2,47632,-61
192.168.4.2,47664,-65
192.168.4.2,47680,-60
192.168.4.2,47696,-59
192.168.4.2,47712,-60
192.168.4.2,47744,-64
192.168.4.2,47776,-64
192.168.4.2,47792,-67
192.168.4.2,47808,-69
192.168.4.2,47840,-69
192.168.4.2,47872,-71
192.168.4.2,47888,-71
192.168.4.2,47920,-77
192.168.4.2,47936,-73
192.168.4.2,47952,-70
192.168.4.2,47968,-66
192.168.4.2,48000,-70
192.168.4.2,48016,-67
192.168.4.2,48048,-66
192.168.4.2,48064,-67
192.168.4.2,48080,-76
192.168.4.2,48112,-77
192.168.4.2,48128,-76
192.168.4.2,48144,-77
192.168.4.2,48160,-73
192.168.4.2,48176,-68
192.168.4.2,48192,-76
192.168.4.2,48208,-72
192.168.4.2,48224,-72
192.168.4.2,48240,-67
192.168.4.2,48256,-65
192.168.4.2,48272,-63
192.168.4.2,48288,-64
192.168.4.2,48304,-67
192.168.4.2,48320,-69
192.168.4.2,48352,-75
192.168.4.2,48400,-75
192.168.4.2,48416,-73
192.168.4.2,48432,-72
192.168.4.2,48448,-74
192.168.4.2,48480,-75
192.168.4.2,48496,-70
192.168.4.2,48528,-67
192.168.4.2,48544,-63
192.168.4.2,48576,-66
192.168.4.2,48592,-66
192.168.4.2,48608,-68
192.168.4.2,48624,-70
192.168.4.2,48640,-74
192.168.4.2,48656,-74
192.168.4.2,48672,-74
192.168.4.2,48704,-74
192.168.4.2,48736,-74
192.168.4.2,48768,-71
192.168.4.2,48784,-69
192.168.4.2,48800,-69
192.168.4.2,48816,-67
192.168.4.2,48832,-67
192.168.4.2,48848,-66
192.168.4.2,48864,-70
192.168.4.2,48880,-72
192.168.4.2,48912,-79
192.168.4.2,48928,-77
192.168.4.2,48944,-75
192.168.4.2,48960,-76
192.168.4.2,48976,-73
192.168.4.2,48992,-71
192.168.4.2,49008,-76
192.168.4.2,49040,-71
192.168.4.2,49088,-69
192.168.4.2,49104,-68
192.168.4.2,49120,-68
192.168.4.2,49136,-70
192.168.4.2,49152,-75
192.168.4.2,49168,-73
192.168.4.2,49184,-75
192.168.4.2,49200,-77
192.168.4.2,49232,-75
192.168.4.2,49248,-78
192.168.4.2,49280,-78
192.168.4.2,49296,-80
192.168.4.2,49312,-75
192.168.4.2,49376,-77
192.168.4.2,49408,-71
192.168.4.2,49424,-69
192.168.4.2,49440,-71
192.168.4.2,49488,-72
192.168.4.2,49504,-75
192.168.4.2,49520,-79
192.168.4.2,49536,-78
192.168.4.2,49552,-80
192.168.4.2,49600,-81
192.168.4.2,49616,-78
192.168.4.2,49632,-75
192.168.4.2,49648,-83
192.168.4.2,49664,-86
192.168.4.2,49680,-78
192.168.4.2,49696,-77
192.168.4.2,49744,-81
192.168.4.2,49760,-78
192.168.4.2,49776,-79
192.168.4.2,49808,-78
192.168.4.2,49824,-80
192.168.4.2,49840,-82
192.168.4.2,49872,-82
192.168.4.2,49936,-83
192.168.4.2,49952,-81
192.168.4.2,49968,-78
192.168.4.2,49984,-75
192.168.4.2,50000,-77
192.168.4.2,50032,-78
192.168.4.2,50064,-78
192.168.4.2,50080,-78
192.168.4.2,50128,-75
192.168.4.2,50144,-75
192.168.4.2,50160,-75
192.168.4.2,50176,-84
192.168.4.2,50192,-76
192.168.4.2,50208,-75
192.168.4.2,50224,-74
192.168.4.2,50240,-72
192.168.4.2,50256,-76
192.168.4.2,50272,-78
192.168.4.2,50288,-75
192.168.4.2,50320,-77
192.168.4.2,50416,-85
192.168.4.2,50432,-83
192.168.4.2,50448,-85
192.168.4.2,50464,-83
192.168.4.2,50480,-80
192.168.4.2,50496,-77
192.168.4.2,50528,-77
192.168.4.2,50576,-77
192.168.4.2,50640,-86
192.168.4.2,50656,-90
192.168.4.2,50672,-89
192.168.4.2,50688,-81
192.168.4.2,50720,-81
192.168.4.2,50752,-90
192.168.4.2,50768,-80
192.168.4.2,50784,-80
192.168.4.2,50800,-85
192.168.4.2,50816,-80
192.168.4.2,50832,-80
192.168.4.2,50912,-84
192.168.4.2,50928,-83
192.168.4.2,50944,-84
192.168.4.2,50960,-79
192.168.4.2,50976,-82
192.168.4.2,50992,-87
192.168.4.2,51008,-82
192.168.4.2,51024,-84
192.168.4.2,51040,-82
192.168.4.2,51072,-80
192.168.4.2,51088,-81
192.168.4.2,51104,-79
192.168.4.2,51136,-83
192.168.4.2,51168,-86
192.168.4.2,51200,-88
192.168.4.2,51216,-87
192.168.4.2,51248,-85
192.168.4.2,51280,-84
192.168.4.2,51296,-81
192.168.4.2,51312,-81
192.168.4.2,51328,-80
192.168.4.2,51344,-82
192.168.4.2,51360,-81
192.168.4.2,51376,-79
192.168.4.2,51408,-80
192.168.4.2,51424,-82
192.168.4.2,51440,-84
192.168.4.2,51472,-89
192.168.4.2,51488,-85
192.168.4.2,51504,-84
192.168.4.2,51520,-86
192.168.4.2,51536,-86
192.168.4.2,51552,-82
192.168.4.2,51616,-83
192.168.4.2,51648,-81
192.168.4.2,51664,-82
192.168.4.2,51680,-83
192.168.4.2,51696,-86
192.168.4.2,51712,-94
192.168.4.2,51792,-81
192.168.4.2,51872,-86
192.168.4.2,51888,-82
192.168.4.2,51904,-82
192.168.4.2,51920,-81
192.168.4.2,51936,-82
192.168.4.2,51984,-80
192.168.4.2,52000,-81
192.168.4.2,52016,-81
192.168.4.2,52048,-83
192.168.4.2,52064,-85
192.168.4.2,52080,-87
192.168.4.2,52096,-90
192.168.4.2,52112,-83
192.168.4.2,52128,-84
192.168.4.2,52144,-90
192.168.4.2,52160,-84
192.168.4.2,52176,-84
192.168.4.2,52192,-84
192.168.4.2,52224,-82
192.168.4.2,52240,-80
192.168.4.2,52272,-82
192.168.4.2,52288,-85
192.168.4.2,52304,-92
192.168.4.2,52320,-89
192.168.4.2,52352,-83
192.168.4.2,52416,-84
192.168.4.2,52432,-82
192.168.4.2,52448,-83
192.168.4.2,52480,-88
192.168.4.2,52512,-87
192.168.4.2,52592,-90
192.168.4.2,52608,-90
192.168.4.2,52624,-83
192.168.4.2,52640,-80
192.168.4.2,52656,-83
192.168.4.2,52672,-89
192.168.4.2,52752,-80
192.168.4.2,52768,-85
192.168.4.2,52784,-82
192.168.4.2,52848,-87
192.168.4.2,52912,-94
192.168.4.2,52960,-87
192.168.4.2,52976,-85
192.168.4.2,52992,-87
192.168.4.2,53024,-81
192.168.4.2,53040,-80
192.168.4.2,53072,-82
192.168.4.2,53088,-84
192.168.4.2,53120,-84
192.168.4.2,53216,-90
192.168.4.2,53232,-86
192.168.4.2,53248,-81
192.168.4.2,53296,-83
192.168.4.2,53392,-81
192.168.4.2,53472,-86
192.168.4.2,53504,-94
192.168.4.2,53520,-94
192.168.4.2,53552,-88
192.168.4.2,53616,-84
192.168.4.2,53648,-91
192.168.4.2,53696,-91
192.168.4.2,53712,-86
192.168.4.2,53776,-86
192.168.4.2,53808,-89
192.168.4.2,53824,-90
192.168.4.2,53840,-85
192.168.4.2,53872,-83
192.168.4.2,53888,-83
192.168.4.2,53904,-83
192.168.4.2,53952,-88
192.168.4.2,53984,-86
192.168.4.2,54016,-86
192.168.4.2,54096,-84
192.168.4.2,54112,-83
