sender,sequence,rssi
192.168.4.8,47008,-45
192.168.4.8,47024,-48
192.168.4.8,47040,-46
192.168.4.8,47056,-46
192.168.4.8,47072,-45
192.168.4.8,47104,-45
192.168.4.8,47120,-45
192.168.4.8,47136,-46
192.168.4.8,47152,-44
192.168.4.8,47168,-43
192.168.4.8,47184,-41
192.168.4.8,47216,-42
192.168.4.8,47232,-42
192.168.4.8,47248,-45
192.168.4.8,47264,-46
192.168.4.8,47280,-47
192.168.4.8,47296,-53
192.168.4.8,47312,-51
192.168.4.8,47328,-79
192.168.4.8,47344,-49
192.168.4.8,47376,-45
192.168.4.8,47392,-53
192.168.4.8,47408,-58
192.168.4.8,47424,-58
192.168.4.8,47440,-57
192.168.4.8,47456,-58
192.168.4.8,47472,-56
192.168.4.8,47488,-51
192.168.4.8,47504,-51
192.168.4.8,47520,-48
192.168.4.8,47536,-50
192.168.4.8,47568,-53
192.168.4.8,47600,-56
192.168.4.8,47616,-53
192.168.4.8,47632,-56
192.168.4.8,47664,-59
192.168.4.8,47680,-58
192.168.4.8,47696,-57
192.168.4.8,47712,-56
192.168.4.8,47744,-57
192.168.4.8,47776,-54
192.168.4.8,47792,-57
192.168.4.8,47808,-56
192.168.4.8,47840,-58
192.168.4.8,47872,-62
192.168.4.8,47888,-66
192.168.4.8,47920,-68
192.168.4.8,47936,-66
192.168.4.8,48000,-73
192.168.4.8,48016,-71
192.168.4.8,48048,-64
192.168.4.8,48064,-65
192.168.4.8,48080,-70
192.168.4.8,48112,-64
192.168.4.8,48128,-62
192.168.4.8,48144,-60
192.168.4.8,48160,-63
192.168.4.8,48176,-60
192.168.4.8,48192,-59
192.168.4.8,48208,-65
192.168.4.8,48224,-73
192.168.4.8,48240,-69
192.168.4.8,48256,-66
192.168.4.8,48272,-66
192.168.4.8,48288,-68
192.168.4.8,48304,-68
192.168.4.8,48336,-62
192.168.4.8,48352,-60
192.168.4.8,48400,-61
192.168.4.8,48416,-61
192.168.4.8,48432,-62
192.168.4.8,48448,-60
192.168.4.8,48464,-62
192.168.4.8,48480,-69
192.168.4.8,48496,-68
192.168.4.8,48528,-67
192.168.4.8,48544,-66
192.168.4.8,48576,-64
192.168.4.8,48592,-66
192.168.4.8,48608,-68
192.168.4.8,48624,-64
192.168.4.8,48640,-63
192.168.4.8,48656,-63
192.168.4.8,48672,-62
