sender,sequence,rssi
192.168.4.4,47008,-43
192.168.4.4,47024,-51
192.168.4.4,47040,-42
192.168.4.4,47056,-50
192.168.4.4,47072,-49
192.168.4.4,47104,-43
192.168.4.4,47120,-43
192.168.4.4,47136,-42
192.168.4.4,47152,-42
192.168.4.4,47168,-43
192.168.4.4,47184,-45
192.168.4.4,47216,-45
192.168.4.4,47232,-52
192.168.4.4,47248,-54
192.168.4.4,47264,-56
192.168.4.4,47280,-56
192.168.4.4,47296,-57
192.168.4.4,47312,-58
192.168.4.4,47328,-56
192.168.4.4,47344,-55
192.168.4.4,47376,-58
192.168.4.4,47392,-65
192.168.4.4,47408,-66
192.168.4.4,47424,-66
192.168.4.4,47440,-59
192.168.4.4,47456,-61
192.168.4.4,47472,-59
192.168.4.4,47488,-60
192.168.4.4,47504,-63
192.168.4.4,47520,-68
192.168.4.4,47536,-65
192.168.4.4,47568,-71
192.168.4.4,47584,-73
192.168.4.4,47600,-67
192.168.4.4,47616,-62
192.168.4.4,47632,-70
192.168.4.4,47664,-65
192.168.4.4,47680,-62
192.168.4.4,47696,-58
192.168.4.4,47712,-59
192.168.4.4,47744,-60
192.168.4.4,47776,-59
192.168.4.4,47792,-61
192.168.4.4,47808,-61
192.168.4.4,47840,-61
192.168.4.4,47872,-63
192.168.4.4,47888,-67
192.168.4.4,47920,-70
192.168.4.4,47936,-78
192.168.4.4,47952,-66
192.168.4.4,48000,-72
192.168.4.4,48016,-68
192.168.4.4,48048,-68
192.168.4.4,48064,-69
192.168.4.4,48080,-72
192.168.4.4,48112,-84
192.168.4.4,48128,-79
192.168.4.4,48144,-77
192.168.4.4,48160,-72
192.168.4.4,48176,-70
192.168.4.4,48192,-75
192.168.4.4,48208,-69
192.168.4.4,48224,-74
192.168.4.4,48240,-68
192.168.4.4,48256,-65
192.168.4.4,48272,-66
192.168.4.4,48288,-66
192.168.4.4,48304,-70
192.168.4.4,48320,-69
192.168.4.4,48336,-70
192.168.4.4,48352,-71
192.168.4.4,48400,-71
192.168.4.4,48416,-72
192.168.4.4,48432,-72
192.168.4.4,48448,-76
192.168.4.4,48464,-71
192.168.4.4,48480,-73
192.168.4.4,48496,-74
192.168.4.4,48528,-68
192.168.4.4,48544,-66
192.168.4.4,48576,-68
192.168.4.4,48592,-68
192.168.4.4,48608,-68
192.168.4.4,48624,-68
192.168.4.4,48640,-70
192.168.4.4,48656,-68
192.168.4.4,48672,-69
192.168.4.4,48704,-71
192.168.4.4,48720,-70
192.168.4.4,48736,-71
192.168.4.4,48768,-69
192.168.4.4,48784,-69
192.168.4.4,48800,-68
192.168.4.4,48816,-65
192.168.4.4,48832,-67
192.168.4.4,48848,-66
192.168.4.4,48864,-68
192.168.4.4,48880,-70
192.168.4.4,48896,-71
192.168.4.4,48912,-72
192.168.4.4,48928,-72
192.168.4.4,48944,-73
192.168.4.4,48960,-69
192.168.4.4,48976,-74
192.168.4.4,48992,-80
192.168.4.4,49008,-72
192.168.4.4,49088,-69
192.168.4.4,49104,-70
192.168.4.4,49120,-72
192.168.4.4,49136,-72
192.168.4.4,49152,-74
192.168.4.4,49168,-71
192.168.4.4,49184,-75
192.168.4.4,49200,-73
192.168.4.4,49232,-74
192.168.4.4,49248,-76
192.168.4.4,49280,-74
192.168.4.4,49296,-74
192.168.4.4,49312,-72
192.168.4.4,49376,-75
192.168.4.4,49408,-71
192.168.4.4,49424,-71
192.168.4.4,49440,-70
192.168.4.4,49488,-72
192.168.4.4,49504,-75
192.168.4.4,49520,-73
192.168.4.4,49536,-75
192.168.4.4,49552,-76
192.168.4.4,49600,-74
192.168.4.4,49616,-85
192.168.4.4,49632,-78
192.168.4.4,49648,-80
192.168.4.4,49664,-78
192.168.4.4,49680,-77
192.168.4.4,49696,-72
192.168.4.4,49744,-75
192.168.4.4,49760,-74
192.168.4.4,49776,-76
192.168.4.4,49808,-78
192.168.4.4,49824,-77
192.168.4.4,49840,-77
192.168.4.4,49856,-75
192.168.4.4,49872,-75
192.168.4.4,49936,-86
192.168.4.4,49952,-83
192.168.4.4,49968,-79
192.168.4.4,49984,-73
192.168.4.4,50000,-77
192.168.4.4,50016,-77
192.168.4.4,50032,-73
192.168.4.4,50064,-75
192.168.4.4,50080,-77
192.168.4.4,50128,-79
192.168.4.4,50144,-82
192.168.4.4,50160,-79
192.168.4.4,50176,-75
192.168.4.4,50192,-81
192.168.4.4,50208,-76
192.168.4.4,50224,-74
192.168.4.4,50240,-74
192.168.4.4,50256,-76
192.168.4.4,50272,-75
192.168.4.4,50288,-76
192.168.4.4,50320,-78
192.168.4.4,50336,-80
192.168.4.4,50352,-78
192.168.4.4,50416,-82
192.168.4.4,50432,-83
192.168.4.4,50448,-81
192.168.4.4,50464,-85
192.168.4.4,50480,-81
192.168.4.4,50496,-77
192.168.4.4,50528,-78
192.168.4.4,50560,-79
192.168.4.4,50576,-79
192.168.4.4,50608,-80
192.168.4.4,50640,-78
192.168.4.4,50656,-82
192.168.4.4,50672,-83
192.168.4.4,50720,-78
192.168.4.4,50736,-82
192.168.4.4,50752,-81
192.168.4.4,50768,-79
192.168.4.4,50784,-77
192.168.4.4,50800,-80
192.168.4.4,50816,-80
192.168.4.4,50832,-80
192.168.4.4,50912,-88
192.168.4.4,50960,-84
192.168.4.4,50976,-82
192.168.4.4,50992,-85
192.168.4.4,51024,-80
192.168.4.4,51040,-79
192.168.4.4,51072,-80
192.168.4.4,51088,-81
192.168.4.4,51104,-80
192.168.4.4,51136,-82
192.168.4.4,51168,-84
192.168.4.4,51184,-87
192.168.4.4,51200,-85
192.168.4.4,51216,-85
192.168.4.4,51248,-84
192.168.4.4,51280,-82
192.168.4.4,51296,-78
192.168.4.4,51312,-80
192.168.4.4,51328,-80
192.168.4.4,51360,-84
192.168.4.4,51424,-82
192.168.4.4,51440,-85
192.168.4.4,51488,-89
192.168.4.4,51504,-87
192.168.4.4,51520,-86
192.168.4.4,51536,-90
192.168.4.4,51552,-82
192.168.4.4,51600,-83
192.168.4.4,51616,-89
192.168.4.4,51648,-81
192.168.4.4,51664,-81
192.168.4.4,51680,-83
192.168.4.4,51696,-83
192.168.4.4,51712,-84
192.168.4.4,51744,-84
192.168.4.4,51872,-86
192.168.4.4,51888,-82
192.168.4.4,51904,-78
192.168.4.4,51920,-80
192.168.4.4,51936,-81
192.168.4.4,51984,-80
192.168.4.4,52000,-80
192.168.4.4,52016,-81
192.168.4.4,52048,-84
192.168.4.4,52064,-82
192.168.4.4,52080,-81
192.168.4.4,52096,-84
192.168.4.4,52112,-81
192.168.4.4,52128,-81
192.168.4.4,52144,-88
192.168.4.4,52160,-83
192.168.4.4,52176,-83
192.168.4.4,52192,-83
192.168.4.4,52224,-85
192.168.4.4,52240,-84
192.168.4.4,52288,-86
192.168.4.4,52304,-87
192.168.4.4,52320,-88
192.168.4.4,52352,-86
192.168.4.4,52416,-85
192.168.4.4,52432,-81
192.168.4.4,52448,-81
192.168.4.4,52464,-83
192.168.4.4,52480,-81
192.168.4.4,52512,-83
192.168.4.4,52560,-88
192.168.4.4,52592,-86
192.168.4.4,52608,-86
192.168.4.4,52624,-83
192.168.4.4,52640,-87
192.168.4.4,52656,-91
192.168.4.4,52672,-85
192.168.4.4,52752,-84
192.168.4.4,52768,-84
192.168.4.4,52784,-86
192.168.4.4,52848,-82
192.168.4.4,52912,-88
192.168.4.4,52960,-87
192.168.4.4,53024,-82
192.168.4.4,53040,-82
192.168.4.4,53072,-84
192.168.4.4,53120,-86
192.168.4.4,53216,-90
192.168.4.4,53248,-91
192.168.4.4,53392,-88
192.168.4.4,53472,-88
192.168.4.4,53504,-88
192.168.4.4,53600,-82
192.168.4.4,53616,-86
192.168.4.4,53648,-86
192.168.4.4,53696,-86
