sender,sequence,rssi
192.168.4.5, 26704, -63
192.168.4.5, 26720, -63
192.168.4.5, 26736, -66
192.168.4.5, 26752, -65
192.168.4.5, 26768, -64
192.168.4.5, 26784, -63
192.168.4.5, 26800, -66
192.168.4.5, 26832, -64
192.168.4.5, 26864, -66
192.168.4.5, 26896, -67
192.168.4.5, 26944, -65
192.168.4.5, 26976, -67
192.168.4.5, 26992, -66
192.168.4.5, 27008, -66
192.168.4.5, 27024, -66
192.168.4.5, 27040, -65
192.168.4.5, 27056, -65
192.168.4.5, 27072, -63
192.168.4.5, 27088, -62
192.168.4.5, 27104, -63
192.168.4.5, 27120, -64
192.168.4.5, 27136, -63
192.168.4.5, 27200, -63
192.168.4.5, 27216, -63
192.168.4.5, 27232, -63
192.168.4.5, 27248, -62
192.168.4.5, 27264, -64
192.168.4.5, 27280, -62
192.168.4.10, 42112, -68
192.168.4.10, 42128, -68
192.168.4.10, 42144, -68
192.168.4.10, 42160, -69
192.168.4.10, 42224, -69
192.168.4.10, 42240, -67
192.168.4.10, 42256, -70
192.168.4.10, 42272, -68
192.168.4.10, 42304, -69
192.168.4.10, 42352, -67
192.168.4.10, 42384, -71
192.168.4.10, 42432, -69
192.168.4.10, 42448, -72
192.168.4.10, 42480, -72
192.168.4.10, 42496, -72
192.168.4.10, 42544, -70
192.168.4.10, 42560, -70
192.168.4.10, 42576, -71
192.168.4.10, 42592, -70
192.168.4.10, 42608, -70
192.168.4.10, 42624, -70
192.168.4.10, 42640, -70
192.168.4.10, 42656, -69
192.168.4.10, 42672, -69
192.168.4.10, 42688, -69
192.168.4.10, 42704, -68
192.168.4.10, 42720, -67
192.168.4.10, 42752, -67
192.168.4.10, 42784, -68
192.168.4.10, 42800, -69
192.168.4.6, 40048, -79
192.168.4.6, 40064, -80
192.168.4.6, 40080, -80
192.168.4.6, 40096, -81
192.168.4.6, 40128, -81
192.168.4.6, 40144, -81
192.168.4.6, 40208, -80
192.168.4.6, 40224, -82
192.168.4.6, 40304, -81
192.168.4.6, 40320, -81
192.168.4.6, 40400, -82
192.168.4.6, 40416, -79
192.168.4.6, 40432, -77
192.168.4.6, 40448, -78
192.168.4.6, 40496, -76
192.168.4.6, 40512, -77
192.168.4.6, 40528, -76
192.168.4.6, 40544, -76
192.168.4.6, 40560, -75
192.168.4.6, 40576, -76
192.168.4.6, 40640, -76
192.168.4.6, 40656, -76
192.168.4.6, 40672, -78
192.168.4.6, 40688, -78
192.168.4.6, 40704, -77
192.168.4.6, 40720, -78
192.168.4.6, 40784, -76
192.168.4.6, 40800, -78
192.168.4.6, 40832, -80
192.168.4.6, 40848, -80
192.168.4.5, 27296, -61
192.168.4.5, 27312, -63
192.168.4.5, 27360, -64
192.168.4.5, 27376, -63
192.168.4.5, 27408, -65
192.168.4.5, 27424, -66
192.168.4.5, 27472, -67
192.168.4.5, 27488, -64
192.168.4.5, 27504, -64
192.168.4.5, 27520, -64
192.168.4.5, 27552, -64
192.168.4.5, 27584, -63
192.168.4.5, 27600, -64
192.168.4.5, 27632, -64
192.168.4.5, 27648, -63
192.168.4.5, 27664, -65
192.168.4.5, 27680, -65
192.168.4.5, 27696, -64
192.168.4.5, 27712, -66
192.168.4.5, 27792, -64
192.168.4.5, 27808, -66
192.168.4.5, 27824, -65
192.168.4.5, 27840, -65
192.168.4.5, 27888, -66
192.168.4.5, 27904, -65
192.168.4.5, 27920, -65
192.168.4.5, 27936, -64
192.168.4.5, 27968, -64
192.168.4.5, 27984, -65
192.168.4.5, 28000, -65
192.168.4.10, 42816, -68
192.168.4.10, 42832, -69
192.168.4.10, 42864, -71
192.168.4.10, 42912, -70
192.168.4.10, 42928, -70
192.168.4.10, 42944, -71
192.168.4.10, 42960, -71
192.168.4.10, 42976, -69
192.168.4.10, 42992, -71
192.168.4.10, 43008, -69
192.168.4.10, 43056, -69
192.168.4.10, 43072, -69
192.168.4.10, 43088, -69
192.168.4.10, 43104, -69
192.168.4.10, 43120, -68
192.168.4.10, 43136, -67
192.168.4.10, 43152, -69
192.168.4.10, 43168, -69
192.168.4.10, 43184, -68
192.168.4.10, 43200, -68
192.168.4.10, 4294967229, 1
192.168.4.6, 40864, -80
192.168.4.6, 40880, -80
192.168.4.6, 40896, -79
192.168.4.6, 40912, -80
192.168.4.6, 40928, -78
192.168.4.6, 40944, -78
192.168.4.6, 40992, -78
192.168.4.6, 41024, -78
192.168.4.6, 41056, -79
192.168.4.6, 41072, -80
192.168.4.6, 41088, -79
192.168.4.6, 41104, -79
192.168.4.6, 41120, -79
192.168.4.6, 41136, -78
192.168.4.6, 41152, -77
192.168.4.6, 41168, -77
192.168.4.6, 41184, -79
192.168.4.6, 41200, -78
192.168.4.6, 41216, -78
192.168.4.6, 41232, -79
192.168.4.6, 41248, -78
192.168.4.6, 41296, -78
192.168.4.6, 41312, -77
192.168.4.6, 41376, -79
192.168.4.6, 41424, -78
192.168.4.6, 41440, -78
192.168.4.6, 41456, -75
192.168.4.6, 41472, -79
192.168.4.6, 41488, -78
192.168.4.6, 41504, -79
192.168.4.2, 26864, -71
192.168.4.2, 26896, -71
192.168.4.2, 26944, -70
192.168.4.2, 26976, -71
192.168.4.2, 26992, -71
192.168.4.2, 27008, -72
192.168.4.2, 27024, -72
192.168.4.2, 27040, -70
192.168.4.2, 27056, -70
192.168.4.2, 27072, -70
192.168.4.2, 27088, -68
192.168.4.2, 27104, -68
192.168.4.2, 27120, -67
192.168.4.2, 27136, -68
192.168.4.2, 27200, -67
192.168.4.2, 27216, -67
192.168.4.2, 27232, -67
192.168.4.2, 27248, -68
192.168.4.2, 27264, -68
192.168.4.2, 27280, -68
192.168.4.2, 27296, -68
192.168.4.2, 27312, -67
192.168.4.2, 27360, -67
192.168.4.2, 27376, -70
192.168.4.2, 27408, -70
192.168.4.2, 27424, -69
192.168.4.2, 27472, -69
192.168.4.2, 27488, -70
192.168.4.2, 27504, -70
192.168.4.2, 27520, -69
192.168.4.2, 27552, -69
192.168.4.2, 27584, -69
192.168.4.2, 27600, -68
192.168.4.2, 27632, -68
192.168.4.2, 27648, -67
192.168.4.2, 27664, -67
192.168.4.2, 27680, -67
192.168.4.2, 27696, -67
192.168.4.2, 27712, -68
192.168.4.2, 27792, -69
192.168.4.2, 27808, -69
192.168.4.2, 27824, -68
192.168.4.2, 27840, -67
192.168.4.2, 27888, -68
192.168.4.2, 27904, -68
192.168.4.2, 27920, -69
192.168.4.2, 27936, -68
192.168.4.2, 27968, -69
192.168.4.2, 27984, -68
192.168.4.2, 28000, -67
192.168.4.2, 28032, -69
192.168.4.2, 28048, -69
192.168.4.2, 28064, -68
192.168.4.2, 28080, -67
192.168.4.2, 28096, -69
192.168.4.2, 28112, -68
192.168.4.2, 28144, -68
192.168.4.2, 28160, -69
192.168.4.2, 28176, -72
192.168.4.2, 28192, -70
192.168.4.11, 36176, -74
192.168.4.11, 36224, -74
192.168.4.11, 36256, -73
192.168.4.11, 36272, -73
192.168.4.11, 36288, -74
192.168.4.11, 36304, -74
192.168.4.11, 36368, -77
192.168.4.11, 36384, -77
192.168.4.11, 36416, -76
192.168.4.11, 36432, -73
192.168.4.11, 36448, -72
192.168.4.11, 36464, -71
192.168.4.11, 36496, -72
192.168.4.11, 36512, -74
192.168.4.11, 36528, -73
192.168.4.11, 36544, -75
192.168.4.11, 36560, -75
192.168.4.11, 36592, -72
192.168.4.11, 36608, -71
192.168.4.11, 36624, -71
192.168.4.11, 36640, -72
192.168.4.11, 36656, -70
192.168.4.11, 36704, -71
192.168.4.11, 36752, -73
192.168.4.11, 36800, -74
192.168.4.11, 36816, -74
192.168.4.11, 36832, -74
192.168.4.11, 36848, -72
192.168.4.11, 36864, -72
192.168.4.11, 36880, -71
192.168.4.2, 28208, -70
192.168.4.2, 28224, -68
192.168.4.2, 28240, -68
192.168.4.2, 28256, -68
192.168.4.2, 28272, -67
192.168.4.2, 28304, -67
192.168.4.2, 28320, -68
192.168.4.2, 28336, -68
192.168.4.2, 28368, -68
192.168.4.2, 28384, -69
192.168.4.2, 28400, -69
192.168.4.2, 28416, -69
192.168.4.2, 28432, -68
192.168.4.2, 28448, -68
192.168.4.2, 28464, -69
192.168.4.2, 28480, -68
192.168.4.2, 28544, -68
192.168.4.2, 28576, -68
192.168.4.2, 28592, -68
192.168.4.2, 28608, -67
192.168.4.2, 28640, -68
192.168.4.2, 28672, -69
192.168.4.2, 28704, -68
192.168.4.2, 28720, -67
192.168.4.2, 28736, -67
192.168.4.2, 28768, -67
192.168.4.2, 28832, -68
192.168.4.2, 28864, -67
192.168.4.2, 28880, -66
192.168.4.2, 28896, -68
192.168.4.6, 41520, -78
192.168.4.6, 41536, -79
192.168.4.6, 41696, -79
192.168.4.6, 41728, -79
192.168.4.6, 41744, -78
192.168.4.6, 41760, -79
192.168.4.6, 41776, -78
192.168.4.6, 41792, -79
192.168.4.6, 41808, -78
192.168.4.6, 41840, -77
192.168.4.6, 41888, -77
192.168.4.6, 41904, -78
192.168.4.6, 41920, -79
192.168.4.6, 41952, -78
192.168.4.6, 41968, -78
192.168.4.6, 41984, -79
192.168.4.6, 42000, -79
192.168.4.6, 42016, -79
192.168.4.6, 42032, -78
192.168.4.6, 42048, -77
192.168.4.6, 42064, -79
192.168.4.6, 42096, -79
192.168.4.6, 42112, -80
192.168.4.6, 42128, -80
192.168.4.6, 42144, -80
192.168.4.6, 42160, -78
192.168.4.6, 42224, -78
192.168.4.6, 42240, -80
192.168.4.6, 42256, -77
192.168.4.6, 42352, -77
192.168.4.5, 28032, -64
192.168.4.5, 28048, -64
192.168.4.5, 28064, -65
192.168.4.5, 28080, -65
192.168.4.5, 28096, -65
192.168.4.5, 28112, -65
192.168.4.5, 28144, -65
192.168.4.5, 28160, -65
192.168.4.5, 28176, -64
192.168.4.5, 28192, -65
192.168.4.5, 28208, -63
192.168.4.5, 28224, -64
192.168.4.5, 28240, -64
192.168.4.5, 28256, -63
192.168.4.5, 28272, -63
192.168.4.5, 28304, -63
192.168.4.5, 28320, -64
192.168.4.5, 28336, -63
192.168.4.5, 28368, -63
192.168.4.5, 28384, -64
192.168.4.5, 28400, -64
192.168.4.5, 28416, -63
192.168.4.5, 28432, -64
192.168.4.5, 28448, -64
192.168.4.5, 28464, -63
192.168.4.5, 28480, -63
192.168.4.5, 28544, -64
192.168.4.5, 28576, -63
192.168.4.5, 28592, -64
192.168.4.5, 28608, -63
192.168.4.12, 41984, -74
192.168.4.12, 42000, -74
192.168.4.12, 42016, -73
192.168.4.12, 42032, -75
192.168.4.12, 42048, -74
192.168.4.12, 42064, -74
192.168.4.12, 42096, -73
192.168.4.12, 42112, -74
192.168.4.12, 42128, -74
192.168.4.12, 42144, -75
192.168.4.12, 42160, -74
192.168.4.12, 42224, -73
192.168.4.12, 42240, -72
192.168.4.12, 42256, -73
