sender, sequence, rssi
192.168.4.7, 42352, -71
192.168.4.7, 42368, -70
192.168.4.7, 42384, -70
192.168.4.7, 42416, -71
192.168.4.7, 42432, -72
192.168.4.7, 42448, -73
192.168.4.7, 42496, -70
192.168.4.7, 42544, -71
192.168.4.7, 42560, -70
192.168.4.7, 42592, -73
192.168.4.7, 42608, -67
192.168.4.7, 42624, -71
192.168.4.7, 42640, -71
192.168.4.7, 42672, -71
192.168.4.7, 42688, -71
192.168.4.7, 42704, -71
192.168.4.7, 42720, -71
192.168.4.7, 42736, -70
192.168.4.7, 42752, -82
192.168.4.12, 38032, -62
192.168.4.12, 38048, -63
192.168.4.12, 38064, -62
192.168.4.12, 38096, -64
192.168.4.12, 38112, -64
192.168.4.12, 38128, -63
192.168.4.12, 38144, -63
192.168.4.12, 38160, -63
192.168.4.12, 38176, -63
192.168.4.12, 38192, -63
192.168.4.12, 38208, -63
192.168.4.12, 38224, -62
192.168.4.12, 38240, -62
192.168.4.12, 38256, -64
192.168.4.12, 38272, -63
192.168.4.12, 38288, -63
192.168.4.12, 38304, -63
192.168.4.12, 38320, -64
192.168.4.12, 38336, -63
192.168.4.12, 38352, -64
192.168.4.12, 38384, -63
192.168.4.12, 38432, -63
192.168.4.12, 38464, -65
192.168.4.12, 38496, -65
192.168.4.12, 38528, -65
192.168.4.12, 38544, -64
192.168.4.12, 38560, -63
192.168.4.12, 38576, -63
192.168.4.12, 38592, -64
192.168.4.12, 38608, -62
192.168.4.10, 37168, -66
192.168.4.10, 37184, -67
192.168.4.10, 37200, -67
192.168.4.10, 37216, -67
192.168.4.10, 37232, -67
192.168.4.10, 37248, -66
192.168.4.10, 37280, -67
192.168.4.10, 37296, -67
192.168.4.10, 37360, -66
192.168.4.10, 37376, -65
192.168.4.10, 37408, -66
192.168.4.10, 37440, -66
192.168.4.10, 37472, -65
192.168.4.10, 37488, -65
192.168.4.10, 37504, -66
192.168.4.10, 37520, -66
192.168.4.10, 37536, -66
192.168.4.10, 37552, -67
192.168.4.10, 37568, -66
192.168.4.10, 37584, -67
192.168.4.10, 37600, -66
192.168.4.10, 37616, -67
192.168.4.10, 37632, -66
192.168.4.10, 37648, -66
192.168.4.10, 37664, -66
192.168.4.10, 37680, -65
192.168.4.10, 37696, -65
192.168.4.10, 37728, -66
192.168.4.10, 37760, -66
192.168.4.10, 37776, -66
192.168.4.12, 38624, -64
192.168.4.12, 38640, -63
192.168.4.12, 38656, -63
192.168.4.12, 38672, -65
192.168.4.12, 38688, -63
192.168.4.12, 38704, -62
192.168.4.12, 38720, -63
192.168.4.12, 38736, -64
192.168.4.12, 38752, -63
192.168.4.12, 38768, -62
192.168.4.12, 38816, -63
192.168.4.12, 38848, -64
192.168.4.12, 38864, -63
192.168.4.12, 38880, -64
192.168.4.12, 38896, -64
192.168.4.12, 38912, -64
192.168.4.12, 38928, -64
192.168.4.12, 38944, -64
192.168.4.12, 38960, -63
192.168.4.12, 38976, -63
192.168.4.12, 38992, -63
192.168.4.12, 39024, -63
192.168.4.12, 39040, -64
192.168.4.12, 39056, -64
192.168.4.12, 39088, -63
192.168.4.12, 39104, -64
192.168.4.12, 39120, -63
192.168.4.12, 39136, -63
192.168.4.12, 39152, -63
192.168.4.12, 39184, -63
192.168.4.10, 37824, -65
192.168.4.10, 37840, -68
192.168.4.10, 37856, -66
192.168.4.10, 37872, -66
192.168.4.10, 37888, -66
192.168.4.10, 37920, -67
192.168.4.10, 37936, -66
